,DBA Name,Latitude,Longitude,Address,Zip
1,yolk test kitchen,41.913587790048204,-87.6822028354253,1767 n milwaukee ave ,60647.0
2,las asadas mexican grill,41.80802515275297,-87.72003743037237,3834 w 47th st ,60632.0
3,la palapita,41.80802515275297,-87.72003743037237,3834 w 47th st ,60632.0
5,crazy bird,41.89119348444125,-87.65705497652716,1160 w grand ave ,60642.0
6,the redhead piano bar,41.893370903547904,-87.62878315259044,16-18 w ontario st ,60654.0
7,haisous,41.8579631274509,-87.6533577347641,1800-1802 s carpenter st ,60608.0
8,harmony restaurant,41.792163848654795,-87.78540566160221,6525 w archer ave ,60638.0
10,himalayan sherpa kitchen,41.968442053562335,-87.69630357897282,2701 w lawrence ave ,60625.0
16,maxwell street express,41.7360797687383,-87.65085877776569,1058 w 87th st ,60620.0
18,pj pizza company 1 dba papa johns,41.73561794613134,-87.66770523498474,1755 w 87th st ,60620.0
19,domino's pizza,41.801786842810614,-87.72355455269387,5016 s pulaski rd ,60632.0
23,avli river north,41.89483049188808,-87.63430053853016,700-702 n wells st ,60654.0
25,tony's steak & lemonade shrimp max fish & chicken,41.7356169460806,-87.66778329790543,1757 w 87th st ,60620.0
26,new china station,41.910205129391386,-87.68770229368916,2411 w north ave ,60647.0
29,macaroni grill,42.008536400868735,-87.91442843927048,11601 w touhy ave ,60666.0
31,stelio's bottles & bites,41.881102463653505,-87.65186501694456,19 s morgan st ,60607.0
33,aramark@ loyola simpson  residential,41.99740324090077,-87.65829455130033,6333 n winthrop ave ,60660.0
35,mcdonalds,42.008536400868735,-87.91442843927048,11601 w touhy ave ,60666.0
36,apollo's 2000,41.85174848380867,-87.69858330280415,2875 w cermak rd ,60623.0
40,arbor,41.932024920103814,-87.69216904438716,2545 w diversey ave ,60647.0
41,el guanaco,41.931959438085926,-87.7222343006165,3802 w diversey ave ,60647.0
42,campesino restaurant,41.968336274546,-87.70878272483317,3207-3209 w lawrence ave ,60625.0
43,taco burrito king,41.87669790361039,-87.63354313948199,405 s wells st ,60607.0
44,d'nuez,41.81846434483413,-87.69688003750433,4125 s archer ave ,60632.0
46,vegetarian express,41.968330403151455,-87.67902762942835,4747 n damen ave ,60625.0
47,dairy queen brazer,41.953274786097154,-87.76852367918282,5636 w irving park rd ,60634.0
48,liberty house cafe llc,41.99551715572943,-87.7128331515474,6253 b n mccormick rd ,60659.0
49,cafe mustache,41.923355893707345,-87.69785017026875,2313-2315 n milwaukee ave ,60647.0
51,masa azul,41.93196913588585,-87.70013311819626,2901 w diversey ave ,60647.0
52,harold's chicken shack ,41.73637382027632,-87.62723156456728,100 w 87th st ,60620.0
53,captain hooks of dan ryan,41.73603017519755,-87.62909450857559,205 w 87th st ,60620.0
54,frida's pizza corporation,41.9385394320182,-87.7606308007806,5337 w belmont ave ,60641.0
55,onesti pizzeria inc,41.764434164542706,-87.69279450732277,2755 w 71st st ,60629.0
57,cortland's garage,41.915974566321076,-87.66962157196224,1645 w cortland st ,60622.0
58,onesti pizzeria,41.764434164542706,-87.69279450732277,2755 w 71st st ,60629.0
61,cherubs 1,41.92497651650807,-87.69116242232869,2524 w fullerton ave ,60647.0
62,taqueria el dorado ,41.96833532113604,-87.70886984436869,3209 w lawrence ave ,60625.0
64,andhradarbar,41.997897013484966,-87.6865860596281,2240-2242 w devon ave ,60659.0
65,lazo's tacos,41.917676497980096,-87.6872657017977,2003-2011 n western ave ,60647.0
66,mcdonald's restaurant,42.008536400868735,-87.91442843927048,11601 w touhy ave ,60666.0
67,taqueria las flores,41.975805123578695,-87.7132619526397,3352-3354 w foster ave ,60625.0
77,chinese yum yum,41.87783134486316,-87.64764834758425,809 w jackson blvd ,60607.0
79,bismillah restaurant,41.99778802851346,-87.69280878916278,2510 w devon ave ,60659.0
80,tortas frontera,42.008536400868735,-87.91442843927048,11601 w touhy ave ,60666.0
81,wendy's,41.754660124393745,-87.7413847586052,7601 s cicero ave ,60652.0
83,mirai sushi,41.90328489854517,-87.6781414560568,2020 w division st ,60622.0
84,taqueria el dorado,41.968819723568394,-87.6822915036914,2114 w lawrence ave ,60625.0
85,big bowl,42.008536400868735,-87.91442843927048,11601 w touhy ave ,60666.0
86,krispy kreme doughnuts,41.88342263701489,-87.62802165207536,108 n state st ,60602.0
87,ninja,41.952708745779994,-87.76713114902138,3944 n central ave ,60634.0
88,mon lung chop suey,41.90000749953961,-87.66725382248163,1009 n ashland ave ,60622.0
90,twisted tacos,41.87961077820512,-87.62685551466794,24 e adams st ,60603.0
93,innjoy,41.90304415750275,-87.67927089988581,2051 w division st ,60622.0
94,bonita's restaurant inc,41.91722351626528,-87.73059969166016,4138 w armitage ave ,60639.0
96,subway,41.91039897821153,-87.6902068285586,2512 w north ave ,60647.0
97,taco bell ,41.795362472352096,-87.7233692082325,5350 s pulaski rd ,60632.0
98,chicago taichi bubble tea,42.00558686485114,-87.66107732040031,6800 n sheridan rd ,60626.0
99,el capitan restaurant,41.91733689553147,-87.721449987074,3754-3758 w armitage ave ,60647.0
100,el sombrero,41.80933272861339,-87.72349163256884,4611 s pulaski rd ,60632.0
101,the main pizza,42.01192482773641,-87.70123045712496,2839 w touhy ave ,60645.0
102,"11 dining, llc",41.871996129912795,-87.63920429168549,801 s canal st ,60607.0
103,ace hotel chicago,41.88712191392366,-87.65203575962191,311-319 n morgan st ,60607.0
105,alhambra palace restaurant,41.88432780168576,-87.65845724300314,1240 w randolph st ,60607.0
106,palermo's restaurant,41.77863125454842,-87.71742437604965,3751 w 63rd st ,60629.0
107,city's edge bar & grill,41.997435233866156,-87.76125861652775,5310 w devon ave ,60646.0
108,kokku llc,41.87791559996099,-87.65621646106639,1140 w jackson blvd ,60607.0
109,delhi darbar,41.99757606083328,-87.70500110804562,3010 w devon ave ,60659.0
110,las carnitas uruapan,41.793570492325294,-87.69440453864611,2813-15 w 55th st ,60632.0
111,cafe tacuba chicago,41.967983305405404,-87.74177611404262,4507 w lawrence ave ,60630.0
112,avenida del sabor,41.931094868682656,-87.77134438272311,5805 w diversey ave ,60639.0
115,conte's pizza,41.738117520954034,-87.7216916107363,8512 s pulaski rd ,60652.0
116,rhyme or reason,41.90331444109649,-87.6764167191003,1938-1940 w division st ,60622.0
118,lao sze chuan,41.96995886314596,-87.65984317819886,4832 n broadway ,60640.0
119,vienestar familiar,41.77741992955927,-87.70324865340967,6352 s kedzie ave ,60629.0
120,via veneto,41.99647012267009,-87.7175038126524,6340 n lincoln ave ,60659.0
121,daebak korean bbq,41.85478377573143,-87.6327328095787,2017 s wells st ,60616.0
123,argo tea,42.008536400868735,-87.91442843927048,11601 w touhy ave ,60666.0
125,raymonds tacos no. 3,41.924694271720426,-87.71859337650946,3638 w fullerton ave ,60647.0
126,taqueria dona balbis,42.00678208236228,-87.67359749944175,6906 n clark st ,60626.0
128,"irving hall, inc.",41.95294184356289,-87.77690830975227,6003-6009 w irving park rd ,60634.0
129,longman & eagle,41.930126115324036,-87.70723080718349,2657 n kedzie ave ,60647.0
130,jimmy johns,41.89176977820589,-87.65860461424934,520 n ogden ave ,60642.0
132,gyu-kaku restaurant,41.88428889843475,-87.66127941800869,1364 w randolph st ,60607.0
134,mekato's colombian bakery,41.980205519802354,-87.6926003777661,5423 n lincoln ave ,60625.0
135,sea & olive,41.90331444109649,-87.6764167191003,1938-1940 w division st ,60622.0
138,los pekes ice cream & coffee shop,41.7788553378664,-87.71712584709125,3742 w 63rd st ,60629.0
143,healthcare alternative systems,41.91707339369025,-87.70193043997543,1949 n humboldt blvd ,60647.0
145,quesadilla la reina del sur inc,41.92271136874486,-87.6874275597316,2235 n western ave ,60647.0
146,johnny o's,41.830791780461546,-87.65082245322775,3465 s morgan st ,60608.0
147,antojos & shakes,41.90284877198458,-87.69306763647268,2627 w division st ,60622.0
148,frontera tortas  by rick bayless gate k4 t3,42.008536400868735,-87.91442843927048,11601 w touhy ave ,60666.0
150,charcoal flame,42.00913302441507,-87.6738463824712,7003 n clark st ,60626.0
151,floyd's pub,41.917458568356686,-87.6851026411648,1944 n oakley ave ,60647.0
152,taco lulu,41.879163618039705,-87.64264995953803,601 w adams st ,60661.0
153,"double happiness enterprises, inc.",41.97316839903074,-87.65736357565744,1061 w argyle st ,60640.0
154,dunkin donuts/baskin robbins,41.766871449399645,-87.72231683922517,6925 s pulaski rd ,60629.0
157,uru-swati,41.99751643797393,-87.69592211008249,2629 w devon ave ,60659.0
158,au cheval,41.88451545836221,-87.64749730032112,800 w randolph st ,60607.0
161,la terraza,41.83938905272788,-87.72427111249546,2839 s pulaski rd ,60623.0
163,bp,41.852071127711035,-87.67556229949928,1955 w cermak rd ,60608.0
164,nitecap coffee bar llc,41.85784563395503,-87.67028364184357,1738 w 18th st ,60608.0
167,smokey's wing shack,41.90284877198458,-87.69306763647268,2627 w division st ,60622.0
168,belly q/urban belly ii,41.88427444889852,-87.66243302565779,1400 w randolph st ,60607.0
169,overtime bar and grill,41.938298112741435,-87.79390970721451,6714-6718 w belmont ave ,60634.0
170,cafe hoang,41.909125359501154,-87.79562029285854,6818 w north ave ,60707.0
171,jerky jerk rare,41.86890766821779,-87.683275390726,2251-2253 w taylor st ,60612.0
172,popeyes famous fried chicken,41.88263293865735,-87.686621829305,50 n western ave ,60612.0
174,little lazo's,41.917531659094365,-87.68726210292009,1961 n western ave ,60647.0
178,mariscos la costa,41.902539299640786,-87.66761746288637,1132 n ashland ave ,60622.0
179,international house of pancakes,41.93219923769267,-87.69851035446804,2818 w diversey ave ,60647.0
181,piece out,41.91039968165606,-87.67601118847784,1923 w north ave ,60622.0
182,crosstown fitness,41.88157047910092,-87.65332321194828,1031 w madison st ,60607.0
183,gaijin japanese restaurant,41.885700767664,-87.65176311854694,950 w lake st ,60607.0
184,los asadores mexican grill,41.97582181741593,-87.7117294086452,3312 w foster ave ,60625.0
186,"home of the hoagy,inc",41.69231135890114,-87.6552682468684,1316 w 111th st ,60643.0
187,firewater saloon mount greenwood,41.691406189233774,-87.71830607808162,3908 w 111th st ,60655.0
189,subway restaurant,41.93192146498925,-87.7077419067256,3207 w diversey ave ,60647.0
190,piece,41.910397185945115,-87.6761810963592,1927 w north ave ,60622.0
191,kung fu wok restaurant,41.99496878030707,-87.78543707203039,6249 n milwaukee ave ,60646.0
193,red square,41.90333103206356,-87.67543391800302,1914-1916 w division st ,60622.0
194,golden thai,41.86918475349806,-87.66450967311361,1509 w taylor st ,60607.0
196,maxwell street sacramento,41.87370411501883,-87.70086461713747,601 s sacramento blvd ,60612.0
197,jason wok,41.868783839019464,-87.68624468790968,1014 s western ave ,60612.0
199,popeyes,41.93220539506453,-87.69767924386909,2800 w diversey ave ,60647.0
200,tanoshi sushi mikes,41.98309881120602,-87.66852394399494,5547 n clark st ,60640.0
201,roots handmade pizza,41.896044909585854,-87.67560484584318,1922-1924 w chicago ave ,60622.0
207,jubranos,41.869178133290724,-87.6649072809633,1519 w taylor st ,60607.0
208,exos works,41.88935425192819,-87.62410245624348,401 n michigan ave ,60611.0
209,starbucks coffee ,41.967671015100265,-87.76759623699381,5601 w lawrence ave ,60630.0
210,las palmas,41.91042962586729,-87.67394168112114,1835 w north ave ,60622.0
218,"ssyal ginseng house, inc",41.968075255910385,-87.73302714630069,4201 w lawrence ave ,60630.0
219,blowfish contemporary sushi,41.98352603576393,-87.65931794356672,1131 w bryn mawr ave ,60660.0
220,danang kitchen,41.97319036182206,-87.65575295517391,1019 1/2 w argyle st ,60640.0
222,birrieria estilo jalisco inc.,41.922472275724004,-87.68771380635988,2230 n western ave ,60647.0
223,the windsor,41.96315881688357,-87.75684243172473,4530 n milwaukee ave ,60630.0
224,i.h.o.p.,41.95742941661818,-87.74757441604942,4210 n cicero ave ,60641.0
225,cooper's,41.93992587298261,-87.66025188109599,1232 w belmont ave ,60657.0
226,angry pig tavern,41.91034561901541,-87.67906657744264,2039-2041 w north ave ,60647.0
229,northside bar and grill,41.91151626874878,-87.67734069528593,1635-1637 n damen ave ,60647.0
230,gourmet gorilla,41.88746153049457,-87.70216140146225,3021 w carroll st ,60612.0
231,mcdonald's ,41.823158345079044,-87.68923664723573,3867 s archer ave ,60632.0
233,silom12,41.91490097692986,-87.6846674276531,1846-1848 n milwaukee ave ,60647.0
234,gold coast dogs,42.008536400868735,-87.91442843927048,11601 w touhy ave ,60666.0
236,salam  restaurant,41.96571901742301,-87.70853756167853,4634-4636 n kedzie ave ,60625.0
237,united club,42.008536400868735,-87.91442843927048,11601 w touhy ave ,60666.0
240,china palace,41.98992502738334,-87.65943957792769,1129 w thorndale ave ,60660.0
243,host international inc-goose island t3,42.008536400868735,-87.91442843927048,11601 w touhy ave ,60666.0
244,bangers & lace,41.903410014986854,-87.67029621760886,1670 w division st ,60622.0
246,ming brickyard super china buffet inc.,41.92884722332376,-87.7857810192012,2650 n narragansett ave ,60639.0
247,burger king ,41.864646729615934,-87.68600251219546,2401-2407 w ogden ave ,60608.0
253,frank's chicago shrimp house,41.812181052065476,-87.70712481334274,4459 s archer ave ,60632.0
254,la cecina restaurant,41.808630431592775,-87.67361893018992,1934 w 47th st ,60609.0
258,betty's icecream,41.78684434610169,-87.70350999751714,5840 s kedzie ave ,60629.0
259,vanille pattisserie,41.941294180839144,-87.64429200618662,3243 n broadway ,60657.0
260,cafe vienna,41.92848737421647,-87.64204435669477,2523 n clark st ,60614.0
261,gemini bistro,41.920057536694095,-87.64101934425842,2075 n lincoln ave ,60614.0
266,fannie schmoe's bakery llc.,41.954142628314095,-87.74875050321968,4042 n milwaukee ave ,60641.0
267,lou malnati's pizzeria,41.884113576693956,-87.6580816735995,1235 w randolph st ,60607.0
269,tuco & blondie,41.94330695630928,-87.66406138245193,3356-3358 n southport ave ,60657.0
271,anthony's diner,41.945225909077436,-87.81607437620299,7544 w addison st ,60634.0
274,galleria marchetti,41.89324923448882,-87.64879205703045,825 w erie st ,60642.0
275,stanley's grill,41.9102628778286,-87.66170856673064,1543 n elston ave ,60622.0
276,taqueria mi pueblo,41.80100543752876,-87.68661612013952,2459 w 51st st ,60632.0
277,the shrimp shack,41.79213894220009,-87.78674847587374,6601 w archer ave ,60638.0
278,johnny's beef & gyros,41.92362446590992,-87.64642729029045,2300 n lincoln ave ,60614.0
279,chew on  this,41.945225909077436,-87.81607437620299,7544 w addison st ,60634.0
285,chefshaun's hunger hideout,41.74987081545715,-87.68680008233817,2539 w 79th st ,60652.0
286,tano's pizzeria,41.954050096788976,-87.70472907257313,3038 w irving park rd ,60618.0
290,aloha grill hawaiian bbq inc.,41.92868791566252,-87.6424846713895,2534 n clark st ,60614.0
293,neveria y fruteria mi linda michoacana,41.786530774401776,-87.69277691398389,2740 w 59th st ,60629.0
295,pizza-metro,41.90319053056459,-87.67029008677446,1707 w division st ,60622.0
300,raw bar & grill,41.949533641108424,-87.65856122309641,3718-3720 n clark st ,60613.0
301,pasteur of chicago,41.982514139614246,-87.65989035282759,5523-5525 n broadway ,60640.0
304,qdoba mexican eats ,41.932531176231386,-87.65370947965263,957 w diversey pkwy ,60614.0
306,bina's cafe,42.008539538800065,-87.69050051086755,2407 w lunt ave ,60645.0
307,mcdonald's,41.9706775856096,-87.76342894418006,4946 n milwaukee ave ,60630.0
308,restaurante y tamaleria la bendicion inc,41.92809931574407,-87.74630655430202,2567 n cicero ave ,60639.0
309,siri indian restaurant,41.86939628798951,-87.66499334444555,1520 w taylor st ,60607.0
311,5411 empanadas,41.90319824225925,-87.66979533648626,1659 w division st ,60622.0
314,cubby bear lounge ltd,41.947085343828114,-87.65663783493278,1059-1065 w addison st ,60613.0
321,dona chela restaurant,41.850399240651626,-87.68057158857073,2158 w 23rd st ,60608.0
322,paulines,41.92512768539323,-87.66204067083223,1337 w fullerton ave ,60614.0
323,the chg bear sports bar/grill,41.777047434817106,-87.76153944156653,6335 s central ave ,60638.0
324,nova pizza,41.78629925284164,-87.72282652764042,5849 s pulaski rd ,60629.0
329,jade court chinese restaurant,41.87352003005835,-87.65696051450144,624-628 s racine ave ,60607.0
331,jackie's mexican cuisine,41.83598843774932,-87.64608160187807,3207 s halsted st ,60608.0
333,antico,41.917557317725546,-87.68266439539492,1946 n leavitt st ,60647.0
334,mr. falafel,41.9977637602161,-87.6997957219191,6404 n california ave ,60645.0
335,gale street inn,41.970011678252355,-87.76279618588528,4914 n milwaukee ave ,60630.0
337,estrella blanca,41.93666807129704,-87.74665459887675,3049 n cicero ave ,60641.0
339,tarboush mediterranean grill,41.9107340942111,-87.66809336341993,1608 w north ave ,60622.0
345,yinkres nigerian restaurant,42.008539538800065,-87.69050051086755,2407 w lunt ave ,60645.0
351,"compass group usa, inc",41.842995989592936,-87.69530930572088,2650 s california ave ,60608.0
352,uncle joes jerk chicken,41.73603017519755,-87.62909450857559,205 w 87th st ,60620.0
354,zacatecas restaurant,41.93133655338099,-87.75299705381228,5037-5039 w diversey ave ,60639.0
357,popeye's chicken,41.8447339386662,-87.6953630667087,2556 s california ave ,60608.0
358,superdawg drive-in inc,41.99660885982106,-87.78699944881153,6363 n milwaukee ave ,60646.0
364,pizzeria del mercato,41.88678769586561,-87.65669394874121,1154 w fulton market ,60607.0
368,khan bbq restaurant,41.997618688841094,-87.6899394819467,2401-2405 w devon ave ,60659.0
373,ballast point brewing company,41.886083491794274,-87.6488012338551,212 n green st ,60607.0
374,ragga's kitchen,41.89231802030073,-87.74556872149367,633 n cicero ave ,60644.0
375,lao peng you llc,41.89600469987965,-87.6779378973854,2020 w chicago ,60622.0
376,two hearted queen,41.945503653310645,-87.64957851411022,3500 n halsted st ,60657.0
383,jamaican gates,41.80189905551875,-87.62210882249303,111 e 51st st ,60615.0
384,levy premium food service limited partnership,41.88124145680335,-87.6742825339533,1901 w madison st ,60612.0
386,taqueria los comales ,41.920182838435146,-87.69313904053791,2148 n milwaukee ave ,60647.0
388,blue spot sushi corp.,41.88418750712781,-87.64111966683218,131 n clinton st ,60661.0
389,martha's grill,41.93152198835163,-87.73910663902876,4457 w diversey ave ,60639.0
391,levy premium foodservice limited partnership,41.88124145680335,-87.6742825339533,1901 w madison st ,60612.0
392,le pain quotidien,41.88431283109331,-87.64112326659475,135 n clinton ,60661.0
396,dusek's board and beer / punch house,41.857827847989796,-87.65741657223244,1223-1227 w 18th st ,60608.0
398,jupiter coffee,41.88657732519364,-87.65599106599095,1139 w fulton market ,60607.0
401,taco  bell ,41.92866902058592,-87.67377920462141,2575 n clybourn ave ,60614.0
404,beezee,41.87635126679324,-87.62618919572563,424 s wabash ave ,60605.0
407,jaipur,41.88426636711743,-87.64927146811964,847 w randolph st ,60607.0
408,illinois center for rehabilitation and education-r,41.866870839038846,-87.6758133783677,1950 w roosevelt rd ,60608.0
410,poke poke,41.94008901097665,-87.6493912545656,802 w belmont ave ,60657.0
412,"lido, inc.",41.98174513647886,-87.7734651611067,5504 n milwaukee ave ,60630.0
415,nookies tree ltd,41.94281448841558,-87.64950812514198,3334 n halsted st ,60657.0
416,harold's chicken ,41.862678912114326,-87.62419160244413,1450 s michigan ave ,60605.0
417,"smaktak, inc.",41.98972279032093,-87.77717307629189,5961 n elston ave ,60646.0
423,windy city gyros,41.953715918659405,-87.65014628741659,3932 n broadway ,60613.0
425,independence tap,41.95377450976464,-87.7264587067583,3932-3934 w irving park rd ,60618.0
426,halsted street deli,41.892274965646884,-87.62009879454878,541 n fairbanks ct ,60611.0
430,lou malnati's,41.8898747912625,-87.62425976144405,410 n michigan ave ,60611.0
432,the worm hole,41.90837835089753,-87.67456920778488,1462 n milwaukee ave ,60642.0
433,sarpino's pizzeria,41.9324618093209,-87.65783274822834,1149 w diversey pkwy ,60614.0
436,shu tin xia,41.848386251232185,-87.64196007758322,2428-2436 s wallace st ,60616.0
440,cafe bonne sante,41.92230468172915,-87.64850216798372,2215 n halsted st ,60614.0
442,etta,41.910645574433396,-87.67420058686103,1840-1842 w north ave ,60622.0
445,shinwari grill,41.9975929860972,-87.7040346324575,2948-2950 w devon ave ,60659.0
451,ice bar,42.008536400868735,-87.91442843927048,11601 w touhy ave ,60666.0
454,blackwood bbq,41.94002651682731,-87.65388932385706,962 w belmont ave ,60657.0
458,veeno,,,2009 s lafin st ,60608.0
459,emerald isle,42.0023773668331,-87.81574842158678,6684-6686 n northwest hwy ,60631.0
462,peking chinese food,41.939814005246774,-87.64911458899103,3167 n halsted st ,60657.0
463,ay  ay picante,41.964007753721255,-87.73395032409564,4569 n elston ave ,60630.0
465,sweetgreen,41.88443496492766,-87.65216554670809,1000 w randolph st ,60607.0
467,lottie's pub,41.915854880451626,-87.6762179092616,1925 w cortland st ,60622.0
471,fran's beef,41.854572220124695,-87.66378596101777,2021 s blue island ave ,60608.0
472,china kitchen,41.97594611753842,-87.67772574573549,1931 w foster ave ,60640.0
475,"three sons restaurant, inc.",41.79394204830804,-87.77463321494591,6200 s archer ave ,60638.0
477,soul crab chicago,41.91593071729015,-87.68751557795046,1904 n western ave ,60647.0
478,white castle ,41.749014401931134,-87.72204098184092,7912 s pulaski rd ,60652.0
481,groundswell coffee roasters,41.97209297588227,-87.6909582633662,5008 n lincoln ave ,60625.0
482,the frontier,41.90128364339324,-87.66348362488466,1072 n milwaukee ave ,60642.0
484,manjares al express,41.8513977997122,-87.66616621226515,2226-2230 s ashland ave ,60608.0
485,lotus garden,42.01177151609754,-87.80880368336393,7254 w touhy ave ,60631.0
486,le's pho,41.9722135569909,-87.65960910010729,4925 n broadway ,60640.0
487,shokran,41.95353192936301,-87.72833818191091,4027 w irving park rd ,60641.0
491,rockit  burger bar,41.949010883298726,-87.65814287476812,3700 n clark st ,60613.0
492,cozy noodles & rice,41.945108104331005,-87.65441181641037,3456 n sheffield ave ,60657.0
493,taco bell ,41.79218559796885,-87.79580846844715,6944 s archer ave ,60638.0
495,aramark nuveen investments cafe,41.88602541254113,-87.63629770323044,333 w wacker dr ,60606.0
499,new orleans kitchen,41.88458626715457,-87.63101044588598,100 w randolph st ,60601.0
501,kitchfix,41.948894492280026,-87.65681760203104,1101 w waveland ave ,60613.0
503,cafe marie-jeanne,41.899330918472295,-87.69664492473737,1001 n california ave ,60622.0
506,corner bakery cafe,41.89485296136011,-87.62290180042824,676 n st clair st ,60611.0
509,kindred chicago-central hospital,41.94008298285754,-87.72954609719963,4058 w melrose st ,60641.0
512,nonno pino,42.00310350668988,-87.81689425591499,6718 n northwest hwy ,60631.0
520,margies candies,41.961400692264384,-87.67498750263746,1813 w montrose ave ,60613.0
523,zacatacos,41.78507649032044,-87.72279064865629,5925 s pulaski rd ,60629.0
524,new taza bakery,41.997539893342406,-87.70700596180559,3100 w devon ave ,60659.0
525,bernie's,41.948843780887984,-87.65800926199522,3664 n clark st ,60613.0
529,mariscos la palma,41.782967133217156,-87.72302765304838,6038-6040 s pulaski rd ,60629.0
530,kabuki restaurant,41.927477726852224,-87.64144977590252,2473 n clark st ,60614.0
531,roister,41.88663405402807,-87.65184962977254,951 w fulton market ,60607.0
532,taqueria san juanito,41.96711477143258,-87.70857709253174,4714 n kedzie ave ,60625.0
533,cellar door provisions,41.93194409993535,-87.70360323628219,3025 w diversey ave ,60647.0
536,dmmino's ,41.8910754076385,-87.63687267718794,509 n orleans st ,60654.0
539,american airlines,42.008536400868735,-87.91442843927048,11601 w touhy ave ,60666.0
540,market thyme,41.8846320757672,-87.62224799108878,200 e randolph st ,60601.0
543,the darling,41.88425670381661,-87.64982670264364,901-905 w randolph st ,60607.0
548,pete's pizzeria,41.960284231502094,-87.77396125248595,5845-5849 w montrose ave ,60634.0
550,flamingo cafe,41.79456474995328,-87.76914449095,6069-6073 s archer ave ,60638.0
552,nick jr.'s grill,41.90910578560825,-87.7970900667382,6856 w north ave ,60707.0
553,swift & sons,41.886848295491134,-87.65223416110462,1000 w fulton market ,60607.0
557,roti modern mediterranean,41.88442576290219,-87.65268988514183,1012 w randolph st ,60607.0
558,"wendy's properties, llc",41.93915237354104,-87.73125116042982,4140 w belmont ave ,60641.0
559,epic burger,41.89326297731564,-87.6219587764921,227 e ontario st ,60611.0
562,gadabout,41.9765926405371,-87.66855724217827,5212-5214 n clark st ,60640.0
563,kuma's corner,41.886878841282865,-87.64969725329456,854-856 w fulton market ,60607.0
564,"mother cluckers, llc",41.97525809526954,-87.75199055715778,5200 n elston ave ,60630.0
566,shake shack,41.87820739827345,-87.63572044703741,316 w jackson blvd ,60606.0
568,sanos pizzeria,41.967994241870855,-87.74064316006319,4469 w lawrence ave ,60630.0
571,mott st.,41.90703874954132,-87.66744407587532,1401 n ashland ave ,60622.0
574,taj mahal,41.869401584495904,-87.66467525709314,1512 w taylor st ,60607.0
576,dunkin donuts,41.85255524909848,-87.65941106191202,1316 w cermak rd ,60608.0
579,chili's t - 3,42.008536400868735,-87.91442843927048,11601 w touhy ave ,60666.0
580,habanero baja grill,41.8852892005056,-87.63554688963875,178 n franklin st ,60606.0
582,cooking fools llc,41.910622805831906,-87.67576194185493,1916 w north ave ,60622.0
583,the dalcy,41.88688930565886,-87.64882279182802,302 n green st fl 3,60607.0
584,"noodles in the pot, inc",41.92690699536436,-87.64866510422102,2453 n halsted st ,60614.0
587,assyrian american association,41.998172635762344,-87.67142114364609,1618 w devon ave ,60660.0
588,reza's andersonville,41.97784289507301,-87.66820740032976,5255-5259 n clark st ,60640.0
589,sorrento's pizzeria & cucina,41.93030153313704,-87.80632767489487,2743 n harlem ave ,60707.0
590,pulqueria chicago,41.80513932623477,-87.74324247619779,4820 s cicero ave ,60638.0
594,delta sky club,42.008536400868735,-87.91442843927048,11601 w touhy ave ,60666.0
595,"gelatina's cris restaurant, inc.",41.80685498334125,-87.74298396841671,4725 s cicero ave ,60632.0
598,coconutz,41.903822360844906,-87.62924444589264,13 w division st ,60610.0
599,greyhound lines inc,41.874463423738476,-87.643815926751,630 w harrison st ,60607.0
601,red barrel,41.80000296677763,-87.73516926865645,5214-5220 s archer ave ,60632.0
603,mayahuel restaurant & pulqueria,41.80513932623477,-87.74324247619779,4820 s cicero ave ,60638.0
607,just salad,41.8880742810662,-87.6349552029274,222 w merchandise mart plz ,60654.0
608,chili's- g concourse,42.008536400868735,-87.91442843927048,11601 w touhy ave ,60666.0
609,"jamison's soul food, llc",41.73583389580895,-87.66798786362106,1800 w 87th st ,60620.0
610,little quiapo restaurant,41.99563177556418,-87.71270678169131,6259 n mccormick rd ,60659.0
619,core juice bar,41.79178653965037,-87.70365422787455,5558 s kedzie ave ,60629.0
621,united airlines club,42.008536400868735,-87.91442843927048,11601 w touhy ave ,60666.0
622,el pueblito mexican grill,41.975043992709786,-87.74813331935255,5152 n cicero ave ,60630.0
625,butcher's tap,41.946831640926156,-87.6638619981349,3553 n southport ave ,60657.0
629,arclight cinemas,41.908560135368425,-87.64645268572521,1500 n clybourn ave ,60610.0
632,feed,41.89554365079729,-87.69684454390776,2803 w chicago ave ,60622.0
636,holiday inn suites,41.87451215422576,-87.63986470914409,506 w harrison st ,60607.0
640,ruby's fast food corp.,41.961128198025385,-87.72216036908962,3740 w montrose ave ,60618.0
644,"falafel dream, inc.",41.95225488946834,-87.80739690900612,3950 n harlem ave ,60634.0
646,fire subs,42.00913302441507,-87.6738463824712,7003 n clark st ,60626.0
649,ramen-san,41.886282116841286,-87.64851477973816,219 n green st ,60607.0
650,studio movie grill,41.736217960782156,-87.62931043653778,210 w 87th st ,60620.0
653,beatrix,41.88689053177296,-87.64882281750185,834-842 w fulton market ,60607.0
658,"i'm hungry now!!, llc",41.73592705196853,-87.64616369258991,901 w 87th st ,60620.0
666,venus dinner - theater,41.95007593145458,-87.6639532586899,3741 n southport ave ,60613.0
667,jiao,41.88162516725497,-87.62634607877138,18 s wabash ,60603.0
668,taqueria siglo xx,41.968445246044006,-87.71941657581397,3626 1/2 w lawrence ,60625.0
